product_id,category,sub_category,user,rating,comment
1,Máy Tính & Laptop,Gaming,Người dùng Shopee,3,NULL
2,Máy Tính & Laptop,Gaming,dongdingdong365,4,NULL
2,Máy Tính & Laptop,Gaming,d3d2pte71e,1,NULL
5,Máy Tính & Laptop,Gaming,huykrb147,4,Mỏng như tiền này của đấy
5,Máy Tính & Laptop,Gaming,thnhqunnguyn208,3,"Lót chuột dùng đc 10 điểm nhưng ko thích lắm nên cho 5 sao
😜"
5,Máy Tính & Laptop,Gaming,xuongmaythuha07,3,NULL
7,Máy Tính & Laptop,Gaming,a7k_7syavv,3,Hàg nhận được vải bình thường nhưg bị nhầm size nhỏ hơn size mjk đặt
7,Máy Tính & Laptop,Gaming,phamminhtam1301,3,NULL
7,Máy Tính & Laptop,Gaming,6ac8m90gdp,2,NULL
7,Máy Tính & Laptop,Gaming,a*****_,1,"Hàng nhận không giống ảnh chụp!
Ảnh chụp bề mặt túi láng mịn mà hàng nhận lại là túi lưới èo uột lỏng lẻo!
Túi mỏng
Đáy và các cạnh túi ko có đệm, bỏ máy vào thêm lo lắng! Chỉ có 2 tấm mút mỏng rời rạc
Chất liệu thô sơ!"
7,Máy Tính & Laptop,Gaming,p*****t,1,"Đặt 15,6 inch mà to hơn rất nhiều, bỏ laptop vào mà sợ trầy hơn khi để ở ngoài, đúng là tiền nào của nấy"
7,Máy Tính & Laptop,Gaming,t*****6,1,NULL
7,Máy Tính & Laptop,Gaming,vlzczprxbg,1,"Chụp một đằng bán một nẻo, chấm hỏi kiểu bán hàng"
7,Máy Tính & Laptop,Gaming,tamphan810,1,NULL
8,Máy Tính & Laptop,Gaming,igirl_style,4,"Chất lượng sản phẩm: 8₫
Tính năng nổi bật: lạ
Đánh giá tổng quát thì ổn mẫu mã lạ mắt đóng gói cẩn thận chắc chăn ship nhanh mà mảng giao hàng khộc thuộc shop nên thôi bỏ qua nhạy bén vì cũng chỉ mới dùng thứ thu hút là tai nghe kiêm luôn sạc dự phòng với giá dưới 200k như này thì chống ồn hay tình trạng lọt âm ra ngoài là ko thể nhưng âm thanh bị rò ra ngoài nó to một cách bất ngờ chưa khác hàng ý nhưng mà thôi chấp nhận thì đấy tư"
8,Máy Tính & Laptop,Gaming,huynhthuong5503,4,ok ok giá tiền nhiu đó chất lượng vậy là ok
8,Máy Tính & Laptop,Gaming,hieuvuong97,4,NULL
8,Máy Tính & Laptop,Gaming,lehathanhhuy,4,NULL
8,Máy Tính & Laptop,Gaming,tunv.neu,3,"Chất lượng sản phẩm ok
Nghe tai nghe ở mức 50% thì đc 5,5 tiếng
Hộp sạc đc hơn 2 lần cho cả 2 tai nghe
Chất lượng âm thanh ở mức trung bình thôi
Kết nối bluetooth thường xuyên bị đứt quãng
Nói chung với mức giá như này là ok rồi"
8,Máy Tính & Laptop,Gaming,xiusstorecutethings,3,"Chất lượng sản phẩm: ổn trầy nhiều nơi
Tính năng nổi bật: giật lag khi sử dụng
Âm thanh lúc có lúc không giật giật
Lâu lâu 2 bên không đồng âm với nhau nữa chứ, delay khá nhiều hơi khó chịu
Nhưng ổn trong tầm giá !"
8,Máy Tính & Laptop,Gaming,canhthon5,3,Thiếu cục sạc Thì nghe hết Pin là bỏ đi :(
8,Máy Tính & Laptop,Gaming,94depkz2xd,3,NULL
8,Máy Tính & Laptop,Gaming,2lokdt5jzu,3,NULL
8,Máy Tính & Laptop,Gaming,dangduy0,2,"Chất lượng sản phẩm: không ổn lắm
Cũng tốt mà tai nghe lúc được lúc không, nghe chỉ được 1 bên nên cũng khá khó chịu"
8,Máy Tính & Laptop,Gaming,haizzz12zz,1,"Tai nghe ko ổn
Nghe tầm 1 tiếng hết pin
Bất sống Bluetooth yếu ... 
Ko ổn chúc nào"
8,Máy Tính & Laptop,Gaming,ek7ckvuqxs,1,NULL
10,Máy Tính & Laptop,Gaming,tuandsds01,4,Anh ngủ ngon mơ đẹp nhó như thế này mà còn là một mình em đi tắm đi
10,Máy Tính & Laptop,Gaming,hanguyen177013,4,"Mình mới tập lube nên không chắc chắn lắm về chất lượng mỡ, nhưng hàng giao nhanh đúng với mô tả"
